,A: Government & Public Admin,A: Business,A: Architecture & Construction,A: Finance,A: Agriculture & Natural Resources,A: Health Science,A: Law & Public Safety,A: Arts & Media,A: Advanced Manufacturing,A: Teaching,A: Computers & Technology,A: Human Services,A: Hospitality & Tourism,A: Engineering,A: Distribution & Logistics,A: Sales & Marketing
I: Government & Public Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I: Business,0,57,1,10,4,194,0,2,59,54,26,0,0,26,21,55
I: Architecture & Construction,0,16,0,4,0,59,0,0,14,20,5,0,0,12,9,20
I: Finance,0,3,0,1,0,12,0,0,3,5,1,0,0,4,3,2
I: Agriculture & Natural Resources,0,5,0,2,0,9,0,0,4,5,1,0,0,1,0,2
I: Health Science,0,63,0,15,4,279,0,3,82,85,18,0,0,56,34,65
I: Law & Public Safety,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I: Arts & Media,0,4,0,0,0,18,0,1,0,9,2,0,0,1,2,8
I: Advanced Manufacturing,0,30,0,3,1,141,0,1,42,38,11,0,0,34,21,35
I: Teaching,0,316,1,49,29,1349,0,11,341,593,114,0,0,245,186,408
I: Computers & Technology,0,13,0,1,2,60,0,0,18,15,2,0,0,10,11,16
I: Human Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I: Hospitality & Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I: Engineering,0,77,1,12,5,378,0,1,119,124,32,0,0,115,60,91
I: Distribution & Logistics,1,61,1,13,5,403,0,2,104,119,29,0,0,49,38,104
I: Sales & Marketing,0,116,2,35,14,745,0,4,148,240,55,0,0,76,82,221
